DATE,pghaww,pghmanuf,pghawwp,pghhouse,pghqwage,patax,fpi
2014-03-01,986.61947270473300,0.7,983.40493281331600,171.14,13905294452.9735000,10071,2846.963
2014-06-01,970.02102372300000,1.4,967.27590354902600,175.78,13877867220.0606000,9256,2934.034
2014-09-01,977.99124403294400,1.5,973.31682869428800,177.55,13970107609.8842000,7946,3008.181
2014-12-01,988.99386551420800,0.9,987.61044616532500,177.57,14196457056.6749000,7888,3051.671
2015-03-01,1043.14280292722000,0.1,1042.28183974379000,179.04,14728789721.3464000,10441,3069.402
2015-06-01,996.98377844217800,-1.3,993.58768237528600,181.36,14300088869.5772000,9766,3095.820
2015-09-01,1002.88176475501000,-1.5,996.51731804628000,183.63,14361776051.1601000,8275,3124.874
2015-12-01,1035.54131526088000,-1.9,1031.88810214326000,184.12,14895759288.7955000,7926,3111.409
2016-03-01,980.38701608297900,-0.4,974.69496840660400,186.04,13865741522.7608000,11240,3119.873
2016-06-01,1004.44446991708000,-0.2,1001.47222016914000,188.93,14424809893.7692000,9881,3148.187
2016-09-01,1050.90980746198000,-0.4,1044.01580872492000,190.56,15011981270.0469000,8209,3182.316
2016-12-01,1029.74217993053000,0.0,1026.94566151250000,190.79,14742886240.5155000,8171,3224.736
2017-03-01,1050.17877275930000,-0.7,1047.30247994515000,190.55,14923443213.1589000,10981,3279.671
2017-06-01,1041.20120543854000,0.0,1036.81433049513000,196.03,15058164546.8880000,10399,3330.758
2017-09-01,1040.32911576752000,-0.6,1035.76588069577000,197.53,14983991605.0102000,8727,3362.523
2017-12-01,1062.72822083084000,0.7,1060.73272585021000,198.00,15348561993.1903000,8815,3440.788
2018-03-01,1083.61127689301000,1.5,1079.89948196859000,200.14,15617246225.0585000,11081,3508.645
2018-06-01,1079.60892990916000,1.9,1075.77283541974000,204.98,15790256075.5215000,10770,3583.068
2018-09-01,1081.72823882495000,3.1,1076.88933256075000,207.25,15723923771.9241000,9397,3611.702
2018-12-01,1086.76722911823000,1.4,1082.45303251066000,206.20,15776521585.5943000,8971,3629.774
2019-03-01,1110.22889311699000,-0.4,1106.78597624312000,209.37,16159816814.7272000,11311,3659.427
2019-06-01,1115.39093207139000,-2.2,1112.96637749942000,213.63,16475600300.9673000,11703,3733.736
2019-09-01,1122.52277067592000,-3.0,1119.75259561356000,216.65,16427062169.9521000,9860,3778.600
2019-12-01,1125.39566616557000,-3.1,1123.34539015108000,218.05,16365145875.0941000,9502,3765.649
2020-03-01,1160.07426159654000,-3.2,1158.82706723164000,220.86,16850773559.5347000,11541,3751.239
2020-06-01,1198.00359544733000,-15.2,1196.07069712757000,223.33,15059805937.1218000,8184,3459.030
2020-09-01,1193.70864246003000,-5.4,1192.27002959251000,227.80,15840074683.9617000,11850,3706.422
2020-12-01,1234.48811473099000,-2.8,1233.43884837074000,231.67,16498619540.5105000,9952,3878.300
2021-03-01,1214.80838249473000,-0.8,1213.95637347551000,236.08,16273820497.2004000,12173,4004.072
2021-06-01,1242.36998204657000,15.8,1243.84119054837000,247.02,17046031946.5473000,13359,4102.844
2021-09-01,1266.53797328199000,5.1,1270.51484407074000,258.71,17236961318.2388000,11351,4164.285
2021-12-01,1296.17446020606000,4.5,1300.02930301566000,262.94,17696779339.6472000,11153,4259.168
2022-03-01,1281.10743704464000,4.8,1283.48015730767000,269.88,17537615919.8150000,13617,4413.608
2022-06-01,,4.2,,284.31,,15846,4464.555
2022-09-01,,3.8,,287.12,,,4490.055
