DATE,pghunemp,pghcivlabforce,pghavghourearn,pghpermits,pghempmanuf
1998-01-01,5.6,137095,,600.86250573092600,129.26007173350200
1998-02-01,5.6,137112,,455.55053597245500,129.59885365425800
1998-03-01,5.7,137236,,499.17507314767100,129.69877569248300
1998-04-01,4.2,137150,,497.60297412830900,130.46373268580100
1998-05-01,4.5,137372,,457.77856729101800,130.62130378816900
1998-06-01,4.7,137455,,502.97661223060200,130.48485899250600
1998-07-01,4.7,137588,,592.29857440278000,129.16549793504900
1998-08-01,4.5,137570,,460.86195048742200,129.21440249034300
1998-09-01,4.3,138286,,857.76492081746800,129.21774662977100
1998-10-01,4.2,138279,,481.34790223667100,129.21747276356200
1998-11-01,4.3,138381,,544.56469804964300,129.49869330048900
1998-12-01,4.1,138634,,755.85639393595700,128.90737347600500
1999-01-01,5.5,139003,,379.38783118947800,128.56826876361800
1999-02-01,5.3,138967,,527.99295523412400,129.47964640889300
1999-03-01,5.0,138730,,589.97972852954600,129.48001540651500
1999-04-01,4.2,138959,,532.47446820207600,128.84581606964100
1999-05-01,4.3,139107,,515.80130255802500,128.69621811069200
1999-06-01,4.6,139329,,862.79440598938200,128.76270998872800
1999-07-01,4.7,139439,,486.08929114885600,128.51812299950700
1999-08-01,4.4,139430,,473.92067347466700,128.11136695547800
1999-09-01,4.1,139622,,489.29451740932800,128.20183744679100
1999-10-01,3.8,139771,,550.09855228782600,128.22309366249700
1999-11-01,3.9,140025,,698.83889143268100,128.52488417575800
1999-12-01,3.7,140177,,625.99136227488700,128.74870264459800
2000-01-01,5.0,142267,,797.19022421175800,129.89047694925600
2000-02-01,5.1,142456,,735.79325346502900,129.95605774589200
2000-03-01,4.7,142434,,562.71331877592100,130.22649595937000
2000-04-01,3.8,142751,,453.34926627041300,129.26433351963800
2000-05-01,4.3,142388,,562.64160943214100,129.30587747682700
2000-06-01,4.6,142591,,467.18586488492600,129.58168261111100
2000-07-01,4.6,142278,,475.38688822873400,130.71881746526900
2000-08-01,4.6,142514,,541.10006802632500,130.07566265315400
2000-09-01,4.1,142518,,486.57746887480700,130.06877307127800
2000-10-01,3.9,142622,,485.21523851243800,129.37741251741300
2000-11-01,4.2,142962,,542.35067042004200,129.54164648406100
2000-12-01,4.0,143248,,487.18936322174700,129.49504551011200
2001-01-01,5.2,143800,,419.56938717095700,128.91453130975900
2001-02-01,5.1,143701,,456.42310222822400,128.32203885965300
2001-03-01,5.0,143924,,488.45587128891700,127.33648428564800
2001-04-01,4.3,143569,,724.07087605684200,126.30186671037200
2001-05-01,4.5,143318,,463.91102456862000,124.80836151238100
2001-06-01,4.9,143357,,509.92185858911600,124.05538470082400
2001-07-01,4.7,143654,,530.65236070045800,123.31155758435700
2001-08-01,4.8,143284,,502.31495451204100,122.56284264210700
2001-09-01,4.4,143989,,469.68119998813400,121.46841638838500
2001-10-01,4.6,144086,,495.95021016740900,120.38358429949100
2001-11-01,5.0,144240,,416.60560289377400,119.49764885584300
2001-12-01,5.0,144305,,501.24800518937300,118.49055446123100
2002-01-01,6.4,143883,,681.49495024096900,117.46071897213400
2002-02-01,6.2,144653,,498.87842821359000,116.79682149719500
2002-03-01,6.0,144481,,476.82528872657000,116.18265407229500
2002-04-01,5.4,144725,,574.16907823482800,115.71870393275100
2002-05-01,5.4,144938,,586.33336892725400,115.62827786349400
2002-06-01,5.7,144808,,584.22480933651800,115.25964492802100
2002-07-01,5.7,144803,,611.09543095557500,114.49376506570300
2002-08-01,5.4,145009,,591.89385890952100,114.51114714786200
2002-09-01,5.0,145552,,675.05237308568300,114.30190875929900
2002-10-01,5.1,145314,,707.23363061312000,114.28977729816200
2002-11-01,5.5,145041,,472.80524058836700,113.82039479554500
2002-12-01,5.7,145066,,541.77200158764500,113.19097259921600
2003-01-01,6.7,145937,,520.46182105189000,113.47257061600800
2003-02-01,6.7,146100,,538.02043090361100,111.31413901564100
2003-03-01,6.3,146022,,486.46500445712200,110.77954107263000
2003-04-01,5.6,146474,,500.75524274857800,110.73230169322300
2003-05-01,5.8,146500,,520.92193946900000,109.69666916566400
2003-06-01,6.3,147056,,457.22180286047200,108.77728469463700
2003-07-01,6.1,146485,,494.83373761425800,107.85212765024100
2003-08-01,5.7,146445,,587.37933493604600,106.86107044244300
2003-09-01,5.4,146530,,526.39507540515200,106.14533492422200
2003-10-01,5.2,146716,,603.85766019585400,105.45789413207000
2003-11-01,5.4,147000,,523.78314397996900,104.79518162821100
2003-12-01,5.2,146729,,519.68607838185200,104.27873516725700
2004-01-01,6.4,146842,,546.66569869596600,103.76713117259300
2004-02-01,6.3,146709,,616.57497986383900,103.29025675218500
2004-03-01,6.3,146944,,670.52763522711000,103.13050813687400
2004-04-01,5.2,146850,,647.19408228298800,103.36632916178900
2004-05-01,5.4,147065,,616.05627442318500,102.84362825550500
2004-06-01,5.8,147460,,680.01455030834300,102.95932115937800
2004-07-01,5.8,147692,,533.02534477934100,102.81877167684300
2004-08-01,5.6,147564,,412.73377281491300,102.57779916845600
2004-09-01,5.0,147415,,445.45816043626900,102.50557687524700
2004-10-01,5.0,147793,,413.85833961661200,102.34991602951600
2004-11-01,5.2,148162,,491.09925101347600,102.34701370111600
2004-12-01,5.2,148059,,542.17339285945900,102.02471917307000
2005-01-01,6.0,148029,,433.58639540787700,101.69501169617100
2005-02-01,6.2,148364,,420.46564794062400,101.48017099823600
2005-03-01,6.0,148391,,400.03590481779300,101.46779147855000
2005-04-01,4.9,148926,,560.04573726322100,101.04136073215500
2005-05-01,5.1,149261,,484.85844175203100,100.75579532680900
2005-06-01,5.4,149238,,488.76843928594100,100.53769786095100
2005-07-01,5.4,149432,,563.39910179659400,100.43687428690600
2005-08-01,5.2,149779,,487.00682389770600,100.57291257899800
2005-09-01,4.7,149954,,548.99315243153100,100.47005335733300
2005-10-01,4.6,150001,,505.08370807161400,100.20914232503400
2005-11-01,4.9,150065,,593.07073335658400,99.96940788866250
2005-12-01,4.7,150030,,500.91265796305200,99.90718813323730
2006-01-01,5.5,150214,,558.38010473722000,99.89359464187980
2006-02-01,5.5,150641,,549.99428501704300,100.01063492965000
2006-03-01,5.1,150813,,527.38990270205700,100.03004858183000
2006-04-01,4.7,150881,,373.47424288109100,100.07859386116700
2006-05-01,4.8,151069,,377.30470289768100,100.21666264581300
2006-06-01,5.2,151354,,447.49515854859600,100.15504468237500
2006-07-01,5.2,151377,,397.55479934618200,100.38164220383700
2006-08-01,5.1,151716,,439.12752740505300,100.43023075861300
2006-09-01,4.3,151662,,391.26491064746900,100.33518928511800
2006-10-01,4.0,152041,,340.60574808134100,100.37110467332200
2006-11-01,4.3,152406,,409.38535593077800,100.53889706913100
2006-12-01,4.2,152732,,795.62096415000600,100.64296570005800
2007-01-01,5.2,153144,20.12,426.45227990325200,100.93517464438000
2007-02-01,5.1,152983,20.10,416.12560608293900,100.83680084422500
2007-03-01,4.6,153051,20.03,559.61601017527800,100.83007475407100
2007-04-01,4.1,152435,20.22,384.68424669990000,100.85930075808800
2007-05-01,4.2,152670,19.94,422.24561083494000,100.82945819713300
2007-06-01,4.6,153041,19.89,317.33483606487300,100.78011375724400
2007-07-01,4.8,153054,20.02,355.89525138230000,100.36453386412800
2007-08-01,4.7,152749,19.86,394.53937407353300,100.03699925387300
2007-09-01,4.2,153414,20.20,399.91018874229200,99.66399553043830
2007-10-01,4.1,153183,20.05,397.29232542162000,99.45189058556810
2007-11-01,4.2,153835,20.00,326.13584112745100,99.38328537514620
2007-12-01,4.6,153918,20.30,306.13654623756400,99.34056351325690
2008-01-01,5.4,154063,20.32,333.77846808406500,99.10824375052470
2008-02-01,5.4,153653,20.41,341.63476187382300,99.29340498442620
2008-03-01,5.1,153908,20.47,311.55968378662100,99.24954013910730
2008-04-01,4.3,153769,20.38,313.56902000339700,98.85795249203890
2008-05-01,4.7,154303,20.22,320.78909103180200,99.06569894209860
2008-06-01,5.2,154313,20.28,300.54691177000900,98.90271213401380
2008-07-01,5.4,154469,20.21,298.97927055042200,98.80536761813940
2008-08-01,5.4,154641,20.16,281.51659167704500,98.51618982227390
2008-09-01,4.6,154570,20.39,245.61211029283900,98.25958715410740
2008-10-01,4.8,154876,20.49,259.83151089564900,97.72351309214240
2008-11-01,5.2,154639,20.56,203.54608771948500,96.66057170042340
2008-12-01,5.8,154655,20.40,152.83090730249800,95.97562621344810
2009-01-01,7.2,154210,20.42,136.69445229463200,94.31972302414290
2009-02-01,7.6,154538,20.51,174.23372826144600,92.78407863042110
2009-03-01,7.5,154133,20.54,214.51132424590900,91.17621641636020
2009-04-01,6.8,154509,20.60,242.04159141632300,90.13501746100550
2009-05-01,7.2,154747,20.44,213.19967889507700,88.85301656355460
2009-06-01,7.5,154716,20.30,239.81440151053700,88.07667511520090
2009-07-01,7.8,154502,20.45,219.90210830803700,87.29631358093260
2009-08-01,7.6,154307,20.57,227.28680436933600,86.71653068712230
2009-09-01,7.0,153827,20.72,244.73271535572000,86.64410623596020
2009-10-01,6.9,153784,20.74,230.05054000767900,86.87357870719750
2009-11-01,6.8,153878,20.82,269.60214977923100,86.74720973679430
2009-12-01,7.1,153111,20.73,370.87547316878400,87.17862227172030
2010-01-01,8.8,153484,20.82,328.72872562441000,86.82454035781170
2010-02-01,9.4,153694,20.92,253.83957308677900,86.75609613269200
