DATE,gs10,pcepi,pcepilfe,fedfunds,baa,paclaims,pghunemp,pghcivlabforce,pghavghourearn,pghpermits,pghempmanuf
2004-03-01,3.83,83.778,86.046,1.00,6.11,19410,6.3,146944,,670.52763522711000,103.13050813687400
2004-04-01,4.35,83.934,86.270,1.00,6.46,20347,5.2,146850,,647.19408228298800,103.36632916178900
2004-05-01,4.72,84.206,86.388,1.00,6.75,17477,5.4,147065,,616.05627442318500,102.84362825550500
2004-06-01,4.73,84.447,86.525,1.03,6.78,21180,5.8,147460,,680.01455030834300,102.95932115937800
2004-07-01,4.50,84.525,86.628,1.26,6.62,19090,5.8,147692,,533.02534477934100,102.81877167684300
2004-08-01,4.28,84.569,86.661,1.43,6.46,16498,5.6,147564,,412.73377281491300,102.57779916845600
2004-09-01,4.13,84.735,86.823,1.61,6.27,16365,5.0,147415,,445.45816043626900,102.50557687524700
2004-10-01,4.10,85.099,87.012,1.76,6.21,17833,5.0,147793,,413.85833961661200,102.34991602951600
2004-11-01,4.19,85.427,87.199,1.93,6.20,21179,5.2,148162,,491.09925101347600,102.34701370111600
2004-12-01,4.23,85.473,87.311,2.16,6.15,28428,5.2,148059,,542.17339285945900,102.02471917307000
2005-01-01,4.22,85.585,87.625,2.28,6.02,34048,6.0,148029,,433.58639540787700,101.69501169617100
2005-02-01,4.17,85.823,87.770,2.50,5.82,20450,6.2,148364,,420.46564794062400,101.48017099823600
2005-03-01,4.50,86.080,87.987,2.63,6.06,21304,6.0,148391,,400.03590481779300,101.46779147855000
2005-04-01,4.34,86.321,88.089,2.79,6.05,18693,4.9,148926,,560.04573726322100,101.04136073215500
2005-05-01,4.14,86.370,88.269,3.00,6.01,16935,5.1,149261,,484.85844175203100,100.75579532680900
2005-06-01,4.00,86.423,88.330,3.04,5.86,21274,5.4,149238,,488.76843928594100,100.53769786095100
2005-07-01,4.18,86.790,88.460,3.26,5.95,19034,5.4,149432,,563.39910179659400,100.43687428690600
2005-08-01,4.26,87.140,88.532,3.50,5.96,16024,5.2,149779,,487.00682389770600,100.57291257899800
2005-09-01,4.20,87.981,88.728,3.62,6.03,15400,4.7,149954,,548.99315243153100,100.47005335733300
