DATE,gs10,pcepi,pcepilfe,fedfunds,baa,paclaims,pghunemp,pghcivlabforce,pghavghourearn,pghpermits,pghempmanuf
2021-06-01,1.52,115.458,117.349,0.08,3.44,26555,7.0,161114,27.63,182.49380810121600,79.52061519882610
2021-07-01,1.32,115.986,117.811,0.10,3.24,26873,7.0,161375,27.79,151.14782821122400,80.24930009750980
2021-08-01,1.28,116.444,118.199,0.09,3.24,9633,6.6,161505,28.00,168.37794023840200,80.66443221086100
2021-09-01,1.37,116.808,118.446,0.08,3.23,10599,5.5,161471,28.10,145.83520719287600,80.31862360573320
2021-10-01,1.58,117.479,118.929,0.08,3.35,11249,5.3,161610,28.51,147.81515243358600,80.37791034123500
2021-11-01,1.56,118.200,119.543,0.08,3.28,9209,4.8,162126,28.19,163.79085552612400,80.49401843250070
2021-12-01,1.47,118.841,120.193,0.08,3.30,10746,4.5,162294,28.32,258.88683440645400,79.30272906564100
2022-01-01,1.76,119.469,120.761,0.08,3.58,15946,5.8,163687,29.53,415.36347112125700,79.78000733432070
2022-02-01,1.93,120.178,121.205,0.08,3.97,10248,5.1,163991,29.04,382.65369242325100,81.72013767055370
2022-03-01,2.13,121.321,121.651,0.20,4.29,7339,4.6,164409,29.38,466.20520970447900,81.88616933744050
2022-04-01,2.75,121.563,122.030,0.33,4.66,9028,4.2,164046,29.41,372.91736822686700,83.49640659790700
2022-05-01,2.90,122.300,122.488,0.77,5.12,8982,4.0,164376,29.38,389.19357890670500,83.55857909437660
2022-06-01,3.14,123.512,123.258,1.21,5.27,9139,4.6,164023,29.10,330.74585914529800,83.91794538803070
2022-07-01,2.90,123.366,123.316,1.68,5.21,8034,4.7,163960,29.54,348.12080902255000,82.52350376444530
2022-08-01,2.90,123.690,123.983,2.33,5.15,6663,4.8,164746,29.60,344.82708661790600,83.13146555795510
2022-09-01,3.52,124.102,124.542,2.56,5.69,6350,3.4,164689,29.72,321.64272675832200,82.90112446713450
2022-10-01,3.98,,,3.08,6.26,7505,,164667,29.97,303.13666728154900,84.21847258125010
