"","variable","time","fcst_date","lower","median","upper"
"42","pghawwp",253,2022-06-01,-0.60240635917732,0.0125724547303784,0.536092215064969
"43","pghawwp",254,2022-07-01,-0.726093688415718,-0.0973040899683291,0.499469493712888
"44","pghawwp",255,2022-08-01,-0.622345934462883,-0.0653046300566132,0.48504309676237
"45","pghawwp",256,2022-09-01,-0.50562836199836,0.0365518073289298,0.716423677417279
"46","pghawwp",257,2022-10-01,-0.431810572584307,0.143163799260314,0.768639695809585
"47","pghawwp",258,2022-11-01,-0.447392237683868,0.128769205726424,0.734033262269964
"48","pghawwp",259,2022-12-01,-0.694179195474038,0.0170215631928016,0.547096350330851
"49","pghcivlabforce",236,2021-01-01,-0.0744964985396544,0.0113107181509963,0.091520031709432
"50","pghcivlabforce",237,2021-02-01,-0.0687647505857301,0.00477817518009437,0.0784865673258083
"51","pghcivlabforce",238,2021-03-01,-0.0775943764023059,0.00206371661965063,0.0852783316269224
"52","pghcivlabforce",239,2021-04-01,-0.0894576351176577,0.00139246105477143,0.0867739484431338
"53","pghcivlabforce",240,2021-05-01,-0.0796832078359841,0.00439554972911736,0.0888399206927935
"54","pghcivlabforce",241,2021-06-01,-0.0758352098550195,0.00861930241787072,0.0890079160179439
"55","pghcivlabforce",242,2021-07-01,-0.0797654306226485,0.00666509664506506,0.0951889235264703
"56","pghcivlabforce",243,2021-08-01,-0.0713248294137249,0.00859543163924903,0.0857583194782151
"57","pghcivlabforce",244,2021-09-01,-0.0802838197423453,0.00450306598802376,0.0920091559082358
"58","pghcivlabforce",245,2021-10-01,-0.082188369965942,0.00225731799751745,0.0826661827252216
"59","pghcivlabforce",246,2021-11-01,-0.0827991643131187,0.00236360647638031,0.0814627412839361
"60","pghcivlabforce",247,2021-12-01,-0.0802931307794856,0.00865091172679883,0.0935718313224551
"61","pghcivlabforce",248,2022-01-01,-0.076738139895088,0.00755149321735829,0.0901816073345263
"62","pghcivlabforce",249,2022-02-01,-0.0800942480012666,0.00452828058005151,0.088701805795339
"63","pghcivlabforce",250,2022-03-01,-0.0808234625893176,0.00252806474766428,0.0911978211487166
"64","pghcivlabforce",251,2022-04-01,-0.0820484863042524,0.00294285968867328,0.0877589171578451
"65","pghcivlabforce",252,2022-05-01,-0.0816245247720356,0.00175295011927868,0.0892551601262667
"66","pghcivlabforce",253,2022-06-01,-0.0757648719246914,0.00442673395133367,0.0980462992302994
"67","pghcivlabforce",254,2022-07-01,-0.0812093057394397,0.00908944759717294,0.0921132058595294
"68","pghcivlabforce",255,2022-08-01,-0.0696465418967459,0.00882090154533233,0.0882530769257284
