"","variable","time","fcst_date","lower","median","upper"
"115","pcepi",236,2021-01-01,-0.195019073804405,4.22342637553414,8.69135879063405
"116","pcepi",237,2021-02-01,-0.899091114940171,3.97959070102746,8.71426341582118
"117","pcepi",238,2021-03-01,-2.49561444853534,2.61253956322859,7.53755990291104
"118","pcepi",239,2021-04-01,-4.12548804067802,0.919960891904167,6.09141793916953
"119","pcepi",240,2021-05-01,-4.48285239247831,0.378246622469508,5.76527906185826
"120","pcepi",241,2021-06-01,-3.91344326783614,0.979566480001614,6.34027353131877
"121","pcepi",242,2021-07-01,-3.01013241172341,2.36699300007807,7.47065097250953
"122","pcepi",243,2021-08-01,-1.81422711409692,3.0570445906672,8.11983798416007
"123","pcepi",244,2021-09-01,-2.38246459319837,2.94208704511426,7.77880103496547
"124","pcepi",245,2021-10-01,-3.41996016917363,1.76874885179624,6.81356517782266
"125","pcepi",246,2021-11-01,-4.06491861333403,1.28459985409965,6.02037123534979
"126","pcepi",247,2021-12-01,-3.6119709584267,1.40497789172094,6.11184340653126
"127","pcepi",248,2022-01-01,-2.95772512532956,2.21462797523445,7.3791554705393
"128","pcepi",249,2022-02-01,-2.87241466288322,2.75085240203617,7.71843213671572
"129","pcepi",250,2022-03-01,-2.73548512517198,2.40833946892489,7.24652065932008
"130","pcepi",251,2022-04-01,-3.6163564378609,1.45869570161595,6.32729665947871
"131","pcepi",252,2022-05-01,-4.01870035148682,1.04677281189226,6.42636054975994
"132","pcepi",253,2022-06-01,-3.58521275939204,1.3358013958945,6.80777202769929
"133","pcepi",254,2022-07-01,-3.17126210360243,2.17926673366589,6.95756347643283
"134","pcepi",255,2022-08-01,-2.60835462706434,2.88124528305326,7.74221866376153
"135","pcepi",256,2022-09-01,-2.87255022514399,2.42466820149029,7.5896398375837
"136","pcepi",257,2022-10-01,-3.70470035136815,1.91567052937388,6.93107697759274
"137","pcepi",258,2022-11-01,-4.07606811370525,1.33941354873325,5.97935581915923
"138","pcepi",259,2022-12-01,-3.82607604780222,1.42954364255838,6.21264249036363
"139","pcepilfe",236,2021-01-01,0.267852124043113,2.17488884505799,4.22396472594657
"140","pcepilfe",237,2021-02-01,0.526441100423601,2.73728122707223,4.79598589801549
"141","pcepilfe",238,2021-03-01,0.0286491383946812,2.12090384146318,4.4710425016404
"142","pcepilfe",239,2021-04-01,-0.549278414995548,1.91390187897116,4.19084366497294
"143","pcepilfe",240,2021-05-01,-0.818033885066989,1.513767612277,3.87617772516338
"144","pcepilfe",241,2021-06-01,-0.808078541282515,1.59205093395411,3.83595005448972
"145","pcepilfe",242,2021-07-01,-0.490027845959005,1.80004587272495,4.24703879082002
"146","pcepilfe",243,2021-08-01,-0.265683656166275,1.99183434969035,4.2794847191822
"147","pcepilfe",244,2021-09-01,-0.296737410852081,2.04307155958453,4.21258830727536
"148","pcepilfe",245,2021-10-01,-0.630536707161136,1.73543766300837,4.00146140657946
"149","pcepilfe",246,2021-11-01,-0.689359051378146,1.69378106212514,3.94100179431167
"150","pcepilfe",247,2021-12-01,-0.648902502625339,1.75479221859328,3.89588157907484
"151","pcepilfe",248,2022-01-01,-0.53248945173874,1.79300187052055,4.15388648671683
"152","pcepilfe",249,2022-02-01,-0.567494659463692,1.85178076980328,4.33321504825064
"153","pcepilfe",250,2022-03-01,-0.401327452400255,1.85649935995319,4.27068048585983
"154","pcepilfe",251,2022-04-01,-0.674149506578152,1.67229496296854,4.09953449962185
"155","pcepilfe",252,2022-05-01,-0.85943355840544,1.56395443947502,4.01812010346799
"156","pcepilfe",253,2022-06-01,-0.671188779919317,1.60770729490038,3.93824203992596
"157","pcepilfe",254,2022-07-01,-0.585524358234652,1.73934877630292,4.02022259367261
"158","pcepilfe",255,2022-08-01,-0.524808120994204,1.95623279929829,4.14196477915731
"159","pcepilfe",256,2022-09-01,-0.426606462645157,1.91850285902838,4.41414801976862
"160","pcepilfe",257,2022-10-01,-0.460204367923725,1.83095132112271,3.97320375882604
"161","pcepilfe",258,2022-11-01,-0.774035313174502,1.63204834377063,3.97589243954228
"162","pcepilfe",259,2022-12-01,-0.476771253424113,1.65600330665042,4.09663896585172
"163","pghaww",238,2020-12-01,13.4365740025384,13.4365740025391,13.4365740025397
"164","pghaww",241,2021-03-01,-29.7766789065828,-10.7690318350036,6.58207227765518
"165","pghaww",244,2021-06-01,-5.3486910518116,20.6538620203483,46.8414795692069
"166","pghaww",247,2021-09-01,-45.2859842737142,-12.4511055192023,18.4605186312587
"167","pghaww",250,2021-12-01,-14.5961989050793,19.3207458575719,55.9032821482104
"168","pghaww",253,2022-03-01,-55.0304823646288,-13.3467799334571,23.5830142936258
"169","pghaww",256,2022-06-01,-19.0976953641608,20.4090759032947,64.7119870468632
"170","pghaww",259,2022-09-01,-60.7517836551786,-13.3065185286633,28.2599845668907
"171","pghaww",262,2022-12-01,-23.2932911238716,19.3459720660764,71.3425931938582
"172","pghawwp",238,2020-12-01,13.5788008698497,13.5788008698505,13.5788008698511
"173","pghawwp",241,2021-03-01,-30.4514709185054,-10.9826541131143,6.47659170722365
"174","pghawwp",244,2021-06-01,-5.50368564199928,21.3405749612152,47.7246477358534
"175","pghawwp",247,2021-09-01,-46.3186684281506,-12.8402430146965,19.0040256180987
"176","pghawwp",250,2021-12-01,-14.6298685023344,19.4268333410928,56.6030034350835
"177","pghawwp",253,2022-03-01,-55.7056489919975,-14.2293174158138,24.4260220470162
"178","pghawwp",256,2022-06-01,-19.96671126384,21.0910339571773,65.6932014968458
"179","pghawwp",259,2022-09-01,-63.9340347104617,-13.4865070274599,28.9527910696663
