"","DATE","ur","manemp","rgdp","fpi"
"80","2012-01-01",-28.5727784324621,3.65482516026887,NA,NA
"81","2012-02-01",0,2.22803676125451,NA,NA
"82","2012-03-01",-14.5456326388139,3.83871023536102,3.25838393861488,14.2964400078032
"83","2012-04-01",0,1.81405930238796,NA,NA
"84","2012-05-01",0,1.10724329459373,NA,NA
"85","2012-06-01",0,0.905167037848287,1.81929636875822,9.21730351936958
"86","2012-07-01",0,2.81171676755534,NA,NA
"87","2012-08-01",-14.7241111101771,-0.401270694257505,NA,NA
"88","2012-09-01",-45.2883935794164,-0.602157744509668,0.698920941505321,2.23022515610438
"89","2012-10-01",0,0.702487998319157,NA,NA
"90","2012-11-01",-15.4840858030896,-1.10409442776884,NA,NA
"91","2012-12-01",30.7709167360054,1.00376417395935,0.439111158374317,7.71634754061665
"92","2013-01-01",15.0945386482316,2.3054762134727,NA,NA
"93","2013-02-01",-45.865455384237,1.30113862365775,NA,NA
"94","2013-03-01",-31.5807699808483,0.300062514588006,3.45618358645652,7.05256162674388
"95","2013-04-01",15.8942721000246,0.100004166897349,NA,NA
"96","2013-05-01",-15.8942721000246,0,NA,NA
"97","2013-06-01",0,0.399933348145254,0.557152674964101,4.72401314751991
"98","2013-07-01",-32.434406865503,-2.00100096390941,NA,NA
"99","2013-08-01",-16.551986558803,3.00025158372819,NA,NA
"100","2013-09-01",0,1.79655693541676,3.1541451025781,8.28737319470108
"101","2013-10-01",0,2.39123294005239,NA,NA
"102","2013-11-01",-51.071537302555,2.28713555873696,NA,NA
"103","2013-12-01",-35.296662247552,0.397318106434597,2.83461642601139,7.92224863417523
"104","2014-01-01",-18.0454528374489,-0.198642609292676,NA,NA
"105","2014-02-01",18.0454528374489,2.48067231848381,NA,NA
"106","2014-03-01",0,1.38693980600664,-1.40289621971519,6.84411772269726
"107","2014-04-01",-93.0698812150494,1.38533865472468,NA,NA
"108","2014-05-01",19.2004096157291,1.18616154633315,NA,NA
"109","2014-06-01",-38.7130346618657,2.36881142886389,5.10381553111614,12.0501823415491
"110","2014-07-01",19.5126250461366,1.87199840911632,NA,NA
"111","2014-08-01",-19.5126250461366,1.86908264208157,NA,NA
"112","2014-09-01",-40.00370432111,1.7680284773185,4.6329128419238,9.98292368823215
"113","2014-10-01",-41.3834112854031,3.23463540758908,NA,NA
"114","2014-11-01",20.8700912542429,2.44468975886178,NA,NA
"115","2014-12-01",-42.1095837735241,0.781250027595348,1.79195373659695,5.7414929187253
"116","2015-01-01",21.2394925192813,0,NA,NA
"117","2015-02-01",-42.8616991224952,0.878298742091488,NA,NA
"118","2015-03-01",-22.0189664018357,1.07260397991524,3.24009622203789,2.31737796214304
"119","2015-04-01",0,0.584652873928349,NA,NA
"120","2015-05-01",43.6411730050496,1.46038718279939,NA,NA
"121","2015-06-01",-66.071732619633,0.0972959825411124,2.31330359590558,3.42802406025555
"122","2015-07-01",-22.8578339648333,1.45849387965953,NA,NA
"123","2015-08-01",-23.3017030285219,-0.388758406249679,NA,NA
"124","2015-09-01",-23.7631527554157,0.874529371876065,1.29140379025685,3.73645914922491
"125","2015-10-01",0,0.776824756049876,NA,NA
"126","2015-11-01",23.7631527554157,-0.485456538034157,NA,NA
"127","2015-12-01",-23.7631527554157,0.485456538034157,0.584510113119308,-1.72731364809806
"128","2016-01-01",-48.986393424306,2.03677559505593,NA,NA
"129","2016-02-01",24.7431446432829,-1.74559591149759,NA,NA
"130","2016-03-01",24.2432487810231,-2.23418528940513,2.349803965798,1.0866470437854
"131","2016-04-01",23.7631527554157,1.06904238696188,NA,NA
"132","2016-05-01",-72.7495461797218,-2.04172623692784,NA,NA
"133","2016-06-01",24.7431446432829,1.75026366009803,1.20773012522548,3.61377428863889
"134","2016-07-01",-24.7431446432829,2.13575009860563,NA,NA
"135","2016-08-01",24.7431446432829,-2.33009781949391,NA,NA
"136","2016-09-01",24.2432487810231,-0.0971856651666769,2.39726355406447,4.31300080378065
"137","2016-10-01",-24.2432487810231,-0.194394946156251,NA,NA
"138","2016-11-01",-50.0072356806816,-0.291651477920851,NA,NA
"139","2016-12-01",0,1.26331145003604,1.98263351148995,5.29674113444401
"140","2017-01-01",0,1.06791803496478,NA,NA
"141","2017-02-01",-25.8074462651566,1.35779534408869,NA,NA
"142","2017-03-01",-53.3421150850003,1.25943579154324,1.71497079070875,6.75681042210599
"143","2017-04-01",0,0.677610633905346,NA,NA
"144","2017-05-01",0,0.870651817790247,NA,NA
"145","2017-06-01",-27.5874218696386,1.25649401355403,2.01011276274841,6.18271729184343
"146","2017-07-01",0,0.0965989133142386,NA,NA
"147","2017-08-01",27.5874218696386,4.24267215755876,NA,NA
"148","2017-09-01",-27.5874218696386,0.962155279255228,3.29633519120165,3.79667173460803
"149","2017-10-01",-28.2365968922328,1.24964965032106,NA,NA
"150","2017-11-01",0,1.44028823051556,NA,NA
"151","2017-12-01",-28.9170618948728,2.68392155976329,4.00254789425958,9.20357194680577
"152","2018-01-01",-29.6311351084458,2.20016802038643,NA,NA
"153","2018-02-01",29.6311351084458,2.48229860175826,NA,NA
"154","2018-03-01",-29.6311351084458,2.4771743612213,2.76106413815214,7.8117632555518
"155","2018-04-01",0,2.28209260538179,NA,NA
"156","2018-05-01",-61.5519532650607,2.75175070172935,NA,NA
"157","2018-06-01",61.5519532650607,3.02910944151051,2.77969092100747,8.39579743728009
"158","2018-07-01",-61.5519532650607,1.98370572981119,NA,NA
"159","2018-08-01",0,0.943470447216299,NA,NA
"160","2018-09-01",-32.0018964985933,1.79055281189306,2.87776685778667,3.18388509211687
"161","2018-10-01",32.0018964985933,1.78788505921617,NA,NA
"162","2018-11-01",0,1.12781963189121,NA,NA
"163","2018-12-01",31.1705836839128,1.78354943459951,0.726472690673319,1.99650320110933
"164","2019-01-01",30.3813695811479,2.71715907620163,NA,NA
"165","2019-02-01",-61.5519532650607,-0.0935927934023084,NA,NA
"166","2019-03-01",0,-0.187207488679064,2.16497296924629,3.25447615776753
"167","2019-04-01",-64.8806655243309,0.467963972705121,NA,NA
"168","2019-05-01",0,-0.280756484026057,NA,NA
"169","2019-06-01",0,0.748538035966817,2.68301738150214,8.0411052719171
"170","2019-07-01",32.8787690257376,0.28058142834837,NA,NA
"171","2019-08-01",0,-0.4676721677356,NA,NA
"172","2019-09-01",-66.683821385773,-0.655047390226571,3.54411844681053,4.77769187897863
"173","2019-10-01",33.8050523600354,-5.25329169183166,NA,NA
"174","2019-11-01",0,4.50422799709713,NA,NA
"175","2019-12-01",0,-1.59331456219221,1.7682733216553,-1.37333884096975
"176","2020-01-01",-33.8050523600354,-1.03209670539925,NA,NA
"177","2020-02-01",0,0.0938636630777978,NA,NA
"178","2020-03-01",274.609886914617,-6.39951324545009,-4.72845485944688,-1.53361525695885
"179","2020-04-01",1447.49154343257,-128.772977144158,NA,NA
"180","2020-05-01",-129.156797030839,24.2306425693116,NA,NA
"181","2020-06-01",-218.785868152745,33.9022801758219,-35.4640155156893,-32.4391929871801
"182","2020-07-01",-90.6090630097745,3.49781634288249,NA,NA
"183","2020-08-01",-232.987217329149,2.49221273380797,NA,NA
"184","2020-09-01",-73.6427356515502,4.4729809503913,30.2451016238408,27.6315151348811
"185","2020-10-01",-162.409617443715,2.67580736052437,NA,NA
"186","2020-11-01",-35.296662247552,3.45978245347496,NA,NA
"187","2020-12-01",0,3.25296950342846,3.83441581830724,18.1319690042002
"188","2021-01-01",-54.9714432375531,-0.590793480383667,NA,NA
"189","2021-02-01",-38.0984379774963,3.73678905583716,NA,NA
"190","2021-03-01",-39.3477873875892,4.50796773513744,6.12404787842706,12.7659720069083
"191","2021-04-01",0,-2.74196300139167,NA,NA
"192","2021-05-01",-40.6818620108176,2.74196300139167,NA,NA
"193","2021-06-01",20.5133200311602,1.9547161839732,6.77044038764762,9.74741938707169
"194","2021-07-01",-106.264076809734,6.03946400240289,NA,NA
"195","2021-08-01",-45.2883935794166,3.97720747244463,NA,NA
"196","2021-09-01",-121.315340245642,2.12868947934624,2.61819058719297,5.94568017504997
"197","2021-10-01",-25.8074462651566,5.1127534234169,NA,NA
"198","2021-11-01",-109.166133846872,4.61169502741612,NA,NA
"199","2021-12-01",-88.9295665844665,3.92517004005057,6.72591045941999,9.01169753113464
"200","2022-01-01",30.3813695811479,2.48249611133602,NA,NA
"201","2022-02-01",-61.5519532650607,4.75964450741131,NA,NA
"202","2022-03-01",-64.8806655243309,5.49763994752794,-1.64472952912647,14.2474638045272
"203","2022-04-01",0,5.75495422758934,NA,NA
"204","2022-05-01",0,1.78690420573133,NA,NA
"205","2022-06-01",0,2.34714310248165,-0.578954674399057,4.59081990167149
"206","2022-07-01",-33.8050523600354,3.46536826192221,NA,NA
"207","2022-08-01",66.683821385773,3.3621315479671,NA,NA
"208","2022-09-01",-66.683821385773,2.14310729789062,2.53426757171127,2.27816232577069
